ano,mes,data,regiao,uf,municipio,rodovia,tipo_acidente,condicao_climatica,periodo_dia,acidentes,feridos,obitos,veiculos_envolvidos,nivel_gravidade
2015,1,2015-01-01,Norte,AM,Manaus,BR-37,Tombamento,Chuva,Madrugada,30,20,1,43,Moderado
2015,1,2015-01-01,Norte,AM,Manaus,BR-297,Colisão,Ensolarado,Noite,14,7,0,19,Leve
2015,1,2015-01-01,Norte,PA,Belém,BR-661,Tombamento,Nublado,Madrugada,13,14,0,30,Leve
2015,1,2015-01-01,Norte,PA,Belém,BR-219,Saída de pista,Neblina,Madrugada,22,11,0,42,Leve
2015,1,2015-01-01,Norte,PA,Santarém,BR-622,Tombamento,Neblina,Manhã,13,11,1,21,Moderado
2015,1,2015-01-01,Norte,PA,Santarém,BR-539,Colisão,Nublado,Tarde,19,19,0,33,Moderado
2015,1,2015-01-01,Norte,RO,Porto Velho,BR-555,Colisão,Ensolarado,Tarde,26,17,1,38,Moderado
2015,1,2015-01-01,Norte,RO,Porto Velho,BR-610,Tombamento,Chuva,Noite,25,14,1,50,Moderado
2015,1,2015-01-01,Norte,TO,Palmas,BR-360,Atropelamento,Ensolarado,Madrugada,14,14,1,11,Moderado
2015,1,2015-01-01,Norte,TO,Palmas,BR-328,Colisão,Ensolarado,Manhã,16,12,2,32,Moderado
2015,1,2015-01-01,Nordeste,BA,Salvador,BR-850,Capotamento,Neblina,Manhã,12,8,0,12,Leve
2015,1,2015-01-01,Nordeste,BA,Salvador,BR-666,Colisão,Chuva,Manhã,26,20,0,47,Moderado
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,BR-187,Tombamento,Neblina,Manhã,25,28,1,38,Moderado
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,BR-559,Capotamento,Chuva,Manhã,26,18,1,40,Moderado
2015,1,2015-01-01,Nordeste,PE,Recife,BR-139,Colisão,Ensolarado,Madrugada,20,11,0,31,Leve
2015,1,2015-01-01,Nordeste,PE,Recife,BR-721,Capotamento,Ensolarado,Madrugada,12,2,0,14,Leve
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,BR-808,Atropelamento,Ensolarado,Madrugada,18,12,0,35,Leve
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,BR-286,Colisão,Neblina,Noite,21,17,0,37,Moderado
2015,1,2015-01-01,Nordeste,CE,Fortaleza,BR-702,Saída de pista,Ensolarado,Noite,16,5,0,21,Leve
2015,1,2015-01-01,Nordeste,CE,Fortaleza,BR-775,Atropelamento,Nublado,Tarde,18,6,3,26,Grave
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,BR-273,Tombamento,Ensolarado,Madrugada,26,13,2,43,Moderado
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,BR-675,Atropelamento,Chuva,Noite,17,16,0,23,Moderado
2015,1,2015-01-01,Nordeste,MA,São Luís,BR-375,Colisão,Ensolarado,Manhã,19,12,0,29,Leve
2015,1,2015-01-01,Nordeste,MA,São Luís,BR-221,Capotamento,Ensolarado,Madrugada,15,12,1,20,Moderado
2015,1,2015-01-01,Nordeste,PB,João Pessoa,BR-474,Capotamento,Chuva,Noite,26,21,1,34,Moderado
2015,1,2015-01-01,Nordeste,PB,João Pessoa,BR-644,Saída de pista,Ensolarado,Noite,12,12,0,17,Leve
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,BR-708,Colisão,Ensolarado,Noite,15,7,1,18,Moderado
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,BR-357,Capotamento,Chuva,Noite,30,19,1,51,Moderado
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,BR-392,Colisão,Ensolarado,Tarde,17,10,0,32,Leve
